xlsx_row_no,matched,source_kind,source_district,source_housing_name,source_housing_type,source_gender,source_supply,source_applicants,source_competition_ratio,actual_winning_rank,actual_winning_score,pred_win_rate_at_winning_cut,pred_reserve_rate_at_winning_cut,winning_cut_check_50,winning_cut_check_70,actual_reserve_rank,actual_reserve_score,pred_win_rate_at_reserve_cut,pred_reserve_rate_at_reserve_cut,reserve_cut_check_50,reserve_cut_check_70,source_address
131,Y,재공급,은평구,리츠하우스2,19B,,5,114,22.8,2순위,8,0.66723,0.930752,통과,미달,2순위,5,0.350415,0.584106,통과,미달,"서울특별시 은평구 갈현로11가길 14-4 (구산동 177-53, 리츠하우스2)"
132,Y,재공급,종로구,서도휴파크,18B,,22,1596,72.5,1순위,3,0.36806,0.406073,미달,미달,1순위,3,0.359141,0.402172,미달,미달,"서울특별시 종로구 종로 387 (숭인동 178-100, 서도휴파크)"
133,Y,재공급,종로구,다원빌,,여성,2,686,343.0,1순위,8,0.847801,0.884959,통과,통과,1순위,8,0.848481,0.88541,통과,통과,"서울특별시 종로구 지봉로12길 11 (숭인동 56-37, 다원빌)"
134,Y,재공급,중랑구,동일케슬,,여성,11,229,20.8,2순위,6,0.549678,0.744495,통과,미달,2순위,6,0.550646,0.744951,통과,통과,"서울특별시 중랑구 동일로148길 43 (묵동 128-60,61,68,69, 동일케슬)"
135,Y,재공급,중랑구,도원휴먼빌,18B,,4,74,18.5,2순위,7,0.588924,0.76594,통과,미달,2순위,5,0.390531,0.581329,통과,미달,"서울특별시 중랑구 동일로123길 76 (중화동 315-31, 도원휴먼빌)"
136,Y,재공급,중랑구,도원휴먼빌,19B,,3,51,17.0,2순위,8,0.73964,0.930077,통과,통과,2순위,5,0.395271,0.586052,통과,미달,"서울특별시 중랑구 동일로169가길 27 (묵동 235-32, 도원휴먼빌)"
137,Y,재공급,중랑구,서영스윗홈,24B,,2,64,32.0,1순위,2,0.190359,0.24764,미달,미달,2순위,5,0.254866,0.584283,통과,미달,"서울특별시 중랑구 상봉로20길 91 (망우동 460-4, 서영스윗홈)"
138,Y,재공급,중랑구,해마루빌리지,33A,,1,138,138.0,1순위,8,0.847944,0.885325,통과,통과,1순위,8,0.845575,0.884712,통과,통과,"서울특별시 중랑구 봉화산로2길 51 (중화동 461, 해마루빌리지)"
139,Y,신규공급,중랑구,드림빌,28B,,14,464,33.1,1순위,0,0,0.086315,미달,미달,2순위,8,0.553579,0.929862,통과,통과,"서울특별시 중랑구 숙선옹주로3길 20-3 (묵동 301-6, 드림빌)"
140,Y,신규공급,중랑구,드림빌,38A,,4,418,104.5,1순위,8,0.846841,0.884731,통과,통과,1순위,6,0.660283,0.724312,통과,통과,"서울특별시 중랑구 숙선옹주로3길 20-3 (묵동 301-6, 드림빌)"
